root,cell,n,captured_count,captured_percent,captured_wilson_lo,captured_wilson_hi,crash_count,crash_percent,crash_wilson_lo,crash_wilson_hi,timeout_count,timeout_percent,timeout_wilson_lo,timeout_wilson_hi
D1p_ep25000_s523,ep25000_d130_dwa_arc,2049,1856,90.58077110785749,89.23899235446243,91.7706731924986,128,6.246949731576379,5.278747104129978,7.3789015274388,65,3.17227916056613,2.496708651406602,4.023106030121833
D1p_ep25000_s523,ep25000_d130_off,2051,1785,87.03071672354949,85.50721640678933,88.41576161565033,213,10.385177961969772,9.138125657117309,11.780347492017366,53,2.584105314480741,1.981036885106806,3.364458668780543
D1p_ep25000_s523,ep25000_d130_riskcap,2049,1849,90.23914104441191,88.87779280892862,91.44989118802792,137,6.686188384577843,5.683685689196237,7.850796363806875,63,3.074670571010249,2.4105639033815716,3.914398906717012
D1p_ep25000_s523,ep25000_d130_stopcap,2049,1766,86.18838457784285,84.62662104225984,87.61471029035783,155,7.564665690580771,6.497431484001326,8.790717411870455,128,6.246949731576379,5.278747104129978,7.3789015274388
D1p_ep25000_s523,ep25000_d160_dwa_arc,2049,1822,88.9214250854075,87.48890311551746,90.20828061713607,167,8.150317227916057,7.0424651796552284,9.414794944795664,60,2.9282576866764276,2.2817169287872057,3.750968074166599
D1p_ep25000_s523,ep25000_d160_off,2049,1686,82.28404099560761,80.57090223192426,83.8763542434993,314,15.324548560273305,13.8298149201677,16.94905775437732,49,2.3914104441190824,1.8136136383204118,3.1473860717692066
D1p_ep25000_s523,ep25000_d160_riskcap,2049,1810,88.33577354807223,86.87361796772524,89.65445453634916,185,9.028794533918985,7.863336140505489,10.347590826814073,54,2.635431918008785,2.025477475702919,3.422651912961329
D1p_ep25000_s523,ep25000_d160_stopcap,2050,1639,79.95121951219512,78.16279876473318,81.62760008645722,224,10.926829268292684,9.648705598807583,12.351116095323537,187,9.121951219512194,7.950866678715118,10.445950524383358
D1p_ep25000_s523,ep25000_d205_dwa_arc,2049,1699,82.91849682772084,81.22771408025253,84.48607955946511,306,14.93411420204978,13.456502144342153,16.54296304448346,44,2.1473889702293802,1.6035094796328566,2.8703605518821314
D1p_ep25000_s523,ep25000_d205_off,2049,1500,73.20644216691069,71.24667973703018,75.07935269541719,515,25.134211810639336,23.3036826723156,27.05780308092956,34,1.6593460224499756,1.189857164108666,2.309753510257061
D1p_ep25000_s523,ep25000_d205_riskcap,2049,1664,81.21034651049293,79.46113338824533,82.8427525014499,335,16.349438750610055,14.811404651747374,18.013412672811096,50,2.440214738897023,1.8558537831074768,3.202571862697067
D1p_ep25000_s523,ep25000_d205_stopcap,2051,1420,69.23451974646514,67.20273569472923,71.19438718855247,353,17.21111652852267,15.639153434161212,18.905675110814872,278,13.55436372501219,12.14090182957934,15.104093467624566
